time,open,high,low,close,tick_volume,spread,real_volume
2023-12-19 15:00:00,2041.381,2043.536,2040.7,2042.346,2277,199,0
2023-12-19 15:15:00,2042.378,2045.462,2042.125,2043.156,1925,199,0
2023-12-19 15:30:00,2043.174,2044.392,2039.011,2039.781,1934,199,0
2023-12-19 15:45:00,2039.805,2041.865,2039.616,2041.742,1558,200,0
2023-12-19 16:00:00,2041.762,2043.873,2041.129,2043.627,1378,200,0
2023-12-19 16:15:00,2043.626,2046.126,2043.533,2045.826,1431,199,0
2023-12-19 16:30:00,2045.826,2046.969,2044.938,2046.43,1319,200,0
2023-12-19 16:45:00,2046.467,2046.467,2044.104,2044.272,1231,199,0
2023-12-19 17:00:00,2044.319,2045.438,2042.323,2042.331,1318,199,0
2023-12-19 17:15:00,2042.315,2042.595,2040.7,2041.957,1165,199,0
2023-12-19 17:30:00,2042.003,2042.507,2040.901,2041.439,1048,199,0
2023-12-19 17:45:00,2041.405,2041.628,2040.173,2040.355,990,199,0
2023-12-19 18:00:00,2040.405,2040.882,2036.833,2037.264,1217,199,0
2023-12-19 18:15:00,2037.24,2038.54,2036.625,2038.407,1401,199,0
2023-12-19 18:30:00,2038.383,2038.892,2037.458,2038.642,1164,199,0
2023-12-19 18:45:00,2038.581,2039.175,2037.953,2039.01,936,200,0
2023-12-19 19:00:00,2038.964,2039.304,2038.367,2038.859,930,199,0
2023-12-19 19:15:00,2038.849,2039.131,2038.543,2038.927,854,199,0
2023-12-19 19:30:00,2038.929,2039.694,2038.759,2038.958,866,199,0
2023-12-19 19:45:00,2038.979,2039.567,2038.745,2039.445,755,200,0
2023-12-19 20:00:00,2039.482,2039.727,2038.673,2039.224,821,200,0
2023-12-19 20:15:00,2039.223,2039.733,2038.957,2039.382,768,199,0
2023-12-19 20:30:00,2039.35,2039.913,2038.788,2038.995,776,200,0
2023-12-19 20:45:00,2038.959,2040.437,2038.825,2040.307,823,200,0
2023-12-19 21:00:00,2040.351,2040.382,2039.767,2039.867,494,200,0
2023-12-19 21:15:00,2039.869,2040.069,2039.732,2039.925,389,200,0
2023-12-19 21:30:00,2039.922,2040.174,2039.564,2040.047,323,200,0
2023-12-19 21:45:00,2040.044,2040.615,2040.018,2040.188,275,200,0
2023-12-19 23:00:00,2039.822,2040.994,2039.718,2040.525,679,200,0
2023-12-19 23:15:00,2040.573,2041.624,2039.018,2039.068,921,199,0
2023-12-19 23:30:00,2039.114,2040.206,2038.774,2040.033,828,200,0
2023-12-19 23:45:00,2040.041,2041.568,2039.854,2040.93,841,199,0
2023-12-20 00:00:00,2040.862,2041.03,2039.602,2040.117,907,199,0
2023-12-20 00:15:00,2040.082,2040.812,2039.667,2040.788,715,200,0
2023-12-20 00:30:00,2040.783,2041.011,2039.797,2039.803,743,199,0
2023-12-20 00:45:00,2039.807,2039.883,2038.764,2039.225,1092,200,0
2023-12-20 01:00:00,2039.273,2039.93,2038.313,2039.141,1098,199,0
2023-12-20 01:15:00,2039.134,2039.551,2038.529,2038.837,975,199,0
2023-12-20 01:30:00,2038.781,2038.91,2037.575,2037.778,893,200,0
2023-12-20 01:45:00,2037.785,2038.783,2037.661,2038.176,966,200,0
2023-12-20 02:00:00,2038.128,2038.148,2036.7,2037.897,893,200,0
2023-12-20 02:15:00,2037.917,2038.219,2037.232,2038.15,822,199,0
2023-12-20 02:30:00,2038.103,2039.418,2038.058,2038.581,892,199,0
2023-12-20 02:45:00,2038.584,2040.323,2038.516,2039.967,777,200,0
2023-12-20 03:00:00,2039.916,2040.46,2038.988,2039.571,828,199,0
2023-12-20 03:15:00,2039.578,2039.977,2039.203,2039.905,668,200,0
2023-12-20 03:30:00,2039.904,2040.88,2039.666,2040.048,768,200,0
2023-12-20 03:45:00,2040.067,2040.617,2039.879,2040.393,708,200,0
2023-12-20 04:00:00,2040.393,2040.602,2039.869,2040.387,646,200,0
2023-12-20 04:15:00,2040.386,2040.625,2039.967,2040.26,649,199,0
2023-12-20 04:30:00,2040.269,2040.643,2039.842,2040.51,629,200,0
2023-12-20 04:45:00,2040.509,2041.016,2040.232,2040.483,710,199,0
2023-12-20 05:00:00,2040.535,2040.604,2039.854,2039.873,687,200,0
2023-12-20 05:15:00,2039.874,2040.398,2039.619,2040.194,683,200,0
2023-12-20 05:30:00,2040.234,2040.385,2039.344,2040.248,764,200,0
2023-12-20 05:45:00,2040.248,2041.317,2040.16,2041.103,684,200,0
2023-12-20 06:00:00,2041.14,2042.396,2040.895,2042.163,820,200,0
2023-12-20 06:15:00,2042.126,2042.305,2040.47,2040.607,858,199,0
2023-12-20 06:30:00,2040.609,2041.796,2040.558,2041.022,874,200,0
2023-12-20 06:45:00,2041.019,2041.691,2040.721,2040.982,847,200,0
2023-12-20 07:00:00,2040.982,2042.438,2040.69,2042.262,1301,200,0
2023-12-20 07:15:00,2042.206,2043.261,2041.747,2042.537,1140,200,0
2023-12-20 07:30:00,2042.503,2043.452,2042.264,2042.468,1031,199,0
2023-12-20 07:45:00,2042.479,2043.395,2041.396,2042.275,929,199,0
2023-12-20 08:00:00,2042.208,2042.208,2039.744,2039.83,1199,199,0
2023-12-20 08:15:00,2039.876,2041.21,2039.792,2041.154,1007,200,0
2023-12-20 08:30:00,2041.186,2041.859,2040.554,2041.052,929,199,0
2023-12-20 08:45:00,2041.083,2041.083,2040.132,2040.951,944,199,0
2023-12-20 09:00:00,2040.982,2042.447,2040.672,2042.447,908,199,0
2023-12-20 09:15:00,2042.415,2042.42,2041.29,2041.439,888,200,0
2023-12-20 09:30:00,2041.483,2041.817,2039.862,2040.152,849,200,0
2023-12-20 09:45:00,2040.169,2040.551,2039.551,2039.919,890,199,0
2023-12-20 10:00:00,2039.882,2040.361,2038.367,2038.425,855,199,0
2023-12-20 10:15:00,2038.383,2038.643,2036.315,2036.393,859,199,0
2023-12-20 10:30:00,2036.36,2037.018,2035.87,2036.565,949,200,0
2023-12-20 10:45:00,2036.564,2037.187,2035.532,2035.963,891,199,0
2023-12-20 11:00:00,2035.972,2035.972,2033.334,2035.277,1119,200,0
2023-12-20 11:15:00,2035.262,2035.363,2031.757,2033.441,1144,199,0
2023-12-20 11:30:00,2033.467,2034.292,2032.962,2033.006,1018,199,0
2023-12-20 11:45:00,2033.028,2033.608,2032.127,2033.503,1037,200,0
2023-12-20 12:00:00,2033.42,2036.318,2033.179,2034.1,1234,200,0
2023-12-20 12:15:00,2034.059,2035.319,2033.126,2033.424,1002,200,0
2023-12-20 12:30:00,2033.42,2035.104,2033.42,2034.876,1015,200,0
2023-12-20 12:45:00,2034.884,2035.901,2033.64,2033.973,1091,199,0
2023-12-20 13:00:00,2034.024,2035.194,2033.74,2035.03,1350,199,0
2023-12-20 13:15:00,2035.046,2035.256,2032.386,2032.499,1388,200,0
2023-12-20 13:30:00,2032.513,2033.473,2029.517,2032.645,1518,199,0
2023-12-20 13:45:00,2032.699,2036.531,2032.294,2036.356,1653,200,0
2023-12-20 14:00:00,2036.369,2039.883,2035.987,2039.164,1846,199,0
2023-12-20 14:15:00,2039.208,2039.355,2035.058,2035.743,1631,199,0
2023-12-20 14:30:00,2035.779,2036.929,2034.046,2035.063,2081,199,0
2023-12-20 14:45:00,2035.019,2038.298,2034.763,2037.987,1657,199,0
2023-12-20 15:00:00,2037.954,2038.738,2032.459,2033.861,1847,199,0
2023-12-20 15:15:00,2033.833,2034.725,2030.492,2031.887,1982,200,0
2023-12-20 15:30:00,2031.936,2035.288,2031.936,2033.878,1651,199,0
2023-12-20 15:45:00,2033.883,2034.137,2031.715,2032.479,1517,199,0
2023-12-20 16:00:00,2032.527,2034.782,2032.457,2034.503,1289,199,0
2023-12-20 16:15:00,2034.557,2035.344,2033.335,2034.713,1200,199,0
2023-12-20 16:30:00,2034.711,2035.125,2033.153,2033.82,1133,200,0
2023-12-20 16:45:00,2033.871,2035.25,2033.264,2034.733,1098,200,0
2023-12-20 17:00:00,2034.766,2035.082,2033.952,2033.952,1028,199,0
2023-12-20 17:15:00,2033.893,2034.361,2032.619,2032.803,1008,199,0
2023-12-20 17:30:00,2032.816,2034.25,2031.926,2034.008,957,200,0
2023-12-20 17:45:00,2034.003,2035.303,2033.963,2034.68,1015,200,0
2023-12-20 18:00:00,2034.681,2035.232,2033.962,2034.002,1073,200,0
2023-12-20 18:15:00,2034.019,2035.641,2034.019,2034.534,1084,200,0
2023-12-20 18:30:00,2034.485,2036.251,2034.383,2035.568,892,200,0
2023-12-20 18:45:00,2035.563,2036.691,2035.316,2036.193,858,200,0
2023-12-20 19:00:00,2036.213,2036.29,2035.229,2036.207,815,199,0
2023-12-20 19:15:00,2036.253,2037.18,2035.824,2035.984,886,199,0
2023-12-20 19:30:00,2035.986,2036.368,2034.144,2034.286,984,199,0
2023-12-20 19:45:00,2034.298,2034.601,2030.125,2032.308,1497,199,0
2023-12-20 20:00:00,2032.27,2032.884,2030.193,2032.321,1479,200,0
2023-12-20 20:15:00,2032.275,2033.828,2032.203,2033.065,1445,199,0
2023-12-20 20:30:00,2033.097,2033.38,2031.917,2032.936,1295,199,0
2023-12-20 20:45:00,2032.991,2033.037,2029.419,2029.684,1217,199,0
2023-12-20 21:00:00,2029.646,2031.049,2029.231,2030.562,1016,199,0
2023-12-20 21:15:00,2030.608,2031.181,2029.686,2029.964,723,199,0
2023-12-20 21:30:00,2029.971,2029.971,2027.383,2028.521,847,200,0
2023-12-20 21:45:00,2028.484,2032.011,2028.244,2031.624,644,199,0
2023-12-20 23:00:00,2032.023,2033.224,2031.802,2032.52,804,199,0
2023-12-20 23:15:00,2032.522,2032.874,2031.79,2032.166,728,200,0
2023-12-20 23:30:00,2032.165,2032.279,2031.442,2031.732,745,199,0
2023-12-20 23:45:00,2031.69,2032.571,2031.511,2032.127,686,199,0
2023-12-21 00:00:00,2032.103,2033.536,2031.904,2033.145,675,199,0
2023-12-21 00:15:00,2033.104,2033.537,2032.771,2032.989,637,200,0
2023-12-21 00:30:00,2032.994,2034.154,2032.829,2033.399,658,199,0
2023-12-21 00:45:00,2033.397,2034.041,2033.272,2033.631,799,199,0
2023-12-21 01:00:00,2033.593,2034.593,2033.382,2033.907,951,200,0
2023-12-21 01:15:00,2033.872,2034.773,2033.58,2033.792,977,200,0
2023-12-21 01:30:00,2033.848,2034.993,2033.848,2034.912,964,199,0
2023-12-21 01:45:00,2034.885,2035.934,2034.685,2035.434,931,199,0
2023-12-21 02:00:00,2035.434,2037.478,2035.302,2036.232,1105,199,0
2023-12-21 02:15:00,2036.196,2036.44,2034.846,2034.952,866,199,0
2023-12-21 02:30:00,2034.949,2036.341,2034.899,2036.2,889,200,0
2023-12-21 02:45:00,2036.196,2037.293,2036.098,2036.877,800,200,0
2023-12-21 03:00:00,2036.881,2037.521,2036.685,2036.903,792,199,0
2023-12-21 03:15:00,2036.921,2036.982,2035.539,2035.862,746,199,0
2023-12-21 03:30:00,2035.806,2037.496,2035.527,2037.371,648,199,0
2023-12-21 03:45:00,2037.368,2037.669,2036.805,2037.366,649,199,0
2023-12-21 04:00:00,2037.372,2037.878,2037.045,2037.244,700,200,0
2023-12-21 04:15:00,2037.245,2037.752,2036.891,2037.458,713,200,0
2023-12-21 04:30:00,2037.437,2037.592,2036.434,2036.794,607,200,0
2023-12-21 04:45:00,2036.802,2037.209,2036.15,2036.32,528,200,0
2023-12-21 05:00:00,2036.318,2037.105,2036.141,2036.929,682,199,0
2023-12-21 05:15:00,2036.969,2038.259,2036.7,2037.04,664,200,0
2023-12-21 05:30:00,2037.018,2037.201,2035.846,2036.162,871,200,0
2023-12-21 05:45:00,2036.169,2036.534,2034.921,2036.092,826,199,0
2023-12-21 06:00:00,2036.087,2036.277,2034.586,2035.19,837,199,0
2023-12-21 06:15:00,2035.193,2035.598,2034.326,2035.577,822,200,0
2023-12-21 06:30:00,2035.555,2036.449,2035.485,2035.916,776,200,0
2023-12-21 06:45:00,2035.913,2037.074,2035.662,2036.823,812,199,0
2023-12-21 07:00:00,2036.874,2037.324,2035.188,2035.383,959,200,0
2023-12-21 07:15:00,2035.406,2035.8,2033.858,2035.366,909,200,0
2023-12-21 07:30:00,2035.369,2036.247,2035.187,2035.452,890,200,0
2023-12-21 07:45:00,2035.44,2035.44,2033.922,2034.877,930,199,0
2023-12-21 08:00:00,2034.861,2036.045,2034.781,2036.007,1085,199,0
2023-12-21 08:15:00,2036.008,2036.73,2035.187,2035.796,908,200,0
2023-12-21 08:30:00,2035.797,2037.196,2035.797,2036.491,955,200,0
2023-12-21 08:45:00,2036.488,2036.988,2035.533,2036.406,940,199,0
2023-12-21 09:00:00,2036.393,2037.06,2035.501,2036.932,917,199,0
2023-12-21 09:15:00,2036.881,2036.958,2036.089,2036.229,812,199,0
2023-12-21 09:30:00,2036.225,2036.619,2035.1,2035.209,771,199,0
2023-12-21 09:45:00,2035.245,2035.694,2034.707,2035.383,840,200,0
2023-12-21 10:00:00,2035.388,2036.01,2034.905,2035.638,839,199,0
2023-12-21 10:15:00,2035.594,2036.075,2034.357,2034.473,765,200,0
